,Subject_area_code,Subject_area_abbrev,Subject_area_name
98,2211,ENGI,Mechanics of Materials
99,2210,ENGI,Mechanical Engineering
100,2735,MEDI,"Pediatrics, Perinatology and Child Health"
101,2741,MEDI,"Radiology, Nuclear Medicine and Imaging"
102,2002,ECON,Economics and Econometrics
103,1909,EART,Geotechnical Engineering and Engineering Geology
104,3311,SOCI,Safety Research
105,1907,EART,Geology
106,2746,MEDI,Surgery
107,2604,MATH,Applied Mathematics
108,1706,COMP,Computer Science Applications
109,3002,PHAR,Drug Discovery
110,2707,MEDI,Complementary and Alternative Medicine
111,1605,CHEM,Organic Chemistry
112,2504,MATE,"Electronic, Optical and Magnetic Materials"
113,2734,MEDI,Pathology and Forensic Medicine
114,3504,DENT,Oral Surgery
115,3506,DENT,Periodontics
116,2213,ENGI,"Safety, Risk, Reliability and Quality"
117,1504,CENG,Chemical Health and Safety
118,1203,ARTS,Language and Linguistics
119,3205,PSYC,Experimental and Cognitive Psychology
120,3310,SOCI,Linguistics and Language
121,2804,NEUR,Cellular and Molecular Neuroscience
122,2200,ENGI,Engineering (all)
123,3100,PHYS,Physics and Astronomy (all)
124,2701,MEDI,Medicine (miscellaneous)
125,1301,BIOC,"Biochemistry, Genetics and Molecular Biology (miscellaneous)"
126,1307,BIOC,Cell Biology
127,3614,HEAL,Radiological and Ultrasound Technology
128,1300,BIOC,"Biochemistry, Genetics and Molecular Biology (all)"
129,2613,MATH,Statistics and Probability
130,2502,MATE,Biomaterials
131,1505,CENG,Colloid and Surface Chemistry
132,1710,COMP,Information Systems
133,1708,COMP,Hardware and Architecture
134,1703,COMP,Computational Theory and Mathematics
135,3103,PHYS,Astronomy and Astrophysics
136,1912,EART,Space and Planetary Science
137,1401,BUSI,"Business, Management and Accounting (miscellaneous)"
138,1711,COMP,Signal Processing
139,1707,COMP,Computer Vision and Pattern Recognition
140,2611,MATH,Modeling and Simulation
141,1709,COMP,Human-Computer Interaction
142,3200,PSYC,Psychology (all)
143,3107,PHYS,"Atomic and Molecular Physics, and Optics"
144,1104,AGRI,Aquatic Science
145,2740,MEDI,Pulmonary and Respiratory Medicine
146,2706,MEDI,Critical Care and Intensive Care Medicine
147,1100,AGRI,Agricultural and Biological Sciences (all)
148,3313,SOCI,Transportation
149,1507,CENG,Fluid Flow and Transfer Processes
150,1315,BIOC,Structural Biology
151,2605,MATH,Computational Mathematics
152,3000,PHAR,"Pharmacology, Toxicology and Pharmaceutics (all)"
153,1501,CENG,Chemical Engineering (miscellaneous)
154,1508,CENG,Process Chemistry and Technology
155,2800,NEUR,Neuroscience (all)
156,2000,ECON,"Economics, Econometrics and Finance (all)"
157,3304,SOCI,Education
158,2705,MEDI,Cardiology and Cardiovascular Medicine
159,2703,MEDI,Anesthesiology and Pain Medicine
160,1908,EART,Geophysics
161,2308,ENVI,"Management, Monitoring, Policy and Law"
162,2700,MEDI,Medicine (all)
163,1910,EART,Oceanography
164,1906,EART,Geochemistry and Petrology
165,1403,BUSI,Business and International Management
166,3312,SOCI,Sociology and Political Science
167,1408,BUSI,Strategy and Management
168,1407,BUSI,Organizational Behavior and Human Resource Management
169,1803,DECI,Management Science and Operations Research
170,3005,PHAR,Toxicology
171,3110,PHYS,Surfaces and Interfaces
172,2748,MEDI,Urology
173,3203,PSYC,Clinical Psychology
174,2506,MATE,Metals and Alloys
175,2400,IMMU,Immunology and Microbiology (all)
176,1107,AGRI,Forestry
177,2711,MEDI,Emergency Medicine
178,2732,MEDI,Orthopedics and Sports Medicine
179,2104,ENER,Nuclear Energy and Engineering
180,1700,COMP,Computer Science (all)
181,2723,MEDI,Immunology and Allergy
182,1308,BIOC,Clinical Biochemistry
183,1210,ARTS,Music
184,3314,SOCI,Anthropology
185,3301,SOCI,Social Sciences (miscellaneous)
186,2719,MEDI,Health Policy
187,2737,MEDI,Physiology (medical)
188,1406,BUSI,Marketing
