Affiliation,Country,count,latitude,longitude
"National Centre for Scientific Research ""DEMOKRITOS""",Greece,518,38.9953683,21.9877132
"National Institute of Chemical Physics and Biophysics, Tallinn",Estonia,518,58.7523778,25.3319078
National Science Center Kharkov Institute of Physics and Technology,Ukraine,518,49.4871968,31.2718321
Recinto Universitario de Mayag?ez,Puerto Rico,518,18.2138235,-67.14256802
"Tata Institute of Fundamental Research, Mumbai",India,518,18.90710855,72.80491758
Universidad de Cantabria,Spain,518,43.47149725,-3.801880307
University of Canterbury,New Zealand,518,-43.5240894,172.5803004
?ukurova ?niversitesi,Turkey,517,37.0500064,35.3594026
Wigner Research Centre for Physics,Hungary,517,47.1817585,19.5060937
"Faculty of Science, University of Split",Croatia,516,45.3658443,15.6575209
Institute for Scintillation Materials of NAS of Ukraine,Ukraine,516,49.4871968,31.2718321
Institut za Nuklearne Nauke Vinca,Serbia,514,44.7585447,20.59866281
Laborat?rio de Instrumentacao e F?sica Experimental de Part?culas,Portugal,514,38.7399201,-9.1433675
Purdue University Northwest,United States,514,41.58135085,-87.47460098
"Narodowe Centrum Bada? J?drowych, Otwock",Poland,513,52.12356985,21.34034761
Indian Institute of Science,India,511,13.0222347,77.56718325
Kasetsart University,Thailand,511,13.8482589,100.5675435
Georgian Technical University,Georgia,509,41.7164202,44.77729843
"Joint Institute for Nuclear Research, Dubna",Russian Federation,506,56.7358978,37.18739803
Institute for Nuclear Research and Nuclear Energy Bulgarian Academy of Sciences,Bulgaria,505,42.6073975,25.4856617
Institute for Nuclear Research of the Russian Academy of Sciences,Russian Federation,505,64.6863136,97.7453061
Thammasat University,Thailand,505,18.3173369,99.39960639
National Technical University of Athens,Greece,503,37.98785015,23.73182581
Moscow Institute of Physics and Technology,Russian Federation,491,55.929035,37.51866808
P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russian Federation,491,64.6863136,97.7453061
Petersburg Nuclear Physics Institute (PNPI),Russian Federation,491,64.6863136,97.7453061
Institute for Nuclear Problems of Belarusian State University,Belarus,490,53.4250605,27.6971358
National Institute of Science Education and Research,India,490,22.96363335,88.52587588
Novosibirsk State University,Russian Federation,490,54.84614165,83.09421307
Tsinghua University,China,490,40.00229045,116.320963
IN2P3 - Institut National de Physique Nucl?aire et de Physique Des Particules,France,488,46.603354,1.8883335
National Research Nuclear University MEPhI,Russian Federation,487,55.6504513,37.66580021
Institut fiziki vysokikh energii,Russian Federation,486,64.6863136,97.7453061
"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",Italy,484,42.6384261,12.674297
Riga Technical University,Latvia,470,56.9526418,24.08067974
Alikhanov Institute for Theoretical and Experimental Physics,Russian Federation,454,64.6863136,97.7453061
University of Mississippi,United States,452,34.3646125,-89.53963491
University of Ruhuna,Sri Lanka,451,5.9381636,80.57685096
Karlsruher Institut f?r Technologie,Germany,449,49.1018534,8.433120159
Istituto Nazionale di Fisica Nucleare - INFN,Italy,447,42.4527916,13.57626287
"Universit? degli Studi del Piemonte Orientale ""Amedeo Avogadro""",Italy,447,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",Italy,445,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Milano-Bicocca",Italy,444,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Pisa",Italy,443,42.6384261,12.674297
Politecnico di Bari,Italy,442,41.10890925,16.87857828
Scuola Normale Superiore di Pisa,Italy,442,43.71968625,10.40039805
"Istituto Nazionale di Fisica Nucleare, Sezione di Bologna",Italy,441,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",Italy,441,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Catania",Italy,440,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Pavia",Italy,440,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Perugia",Italy,440,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Trieste",Italy,440,42.6384261,12.674297
Universit? degli Studi della Basilicata,Italy,440,40.64612575,15.80857857
"Istituto Nazionale di Fisica Nucleare, Sezione di Bari",Italy,439,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Firenze",Italy,439,42.6384261,12.674297
"Istituto Nazionale di Fisica Nucleare, Sezione di Torino",Italy,437,42.6384261,12.674297
Universit? de Strasbourg,France,425,48.5827554,7.7644219
Siriraj Hospital,Thailand,424,13.75782125,100.4853695
Tomsk Polytechnic University,Russian Federation,423,56.4562565,84.94841787
Universidad Aut?noma de San Luis Potos?,Mexico,422,22.1443382,-101.0155732
Khon Kaen University,Thailand,420,17.8036539,102.7480313
Ivane Javakhishvili Tbilisi State University,Georgia,418,41.7170696,44.72137575
Universit? G. Marconi,Italy,417,40.66143018,16.60232812
Universit? Claude Bernard Lyon 1,France,416,45.78166445,4.868154514
Sejong University,South Korea,409,37.550848,127.0746074
Universidade Federal do ABC,Brazil,404,-23.64465645,-46.52841501
Escuela Polit?cnica Nacional,Ecuador,397,-0.21027895,-78.48886096
