,paperID,Cited
221,201800221,55
222,201800222,41
223,201800223,0
224,201800224,25
225,201800225,36
226,201800226,16
227,201800227,14
228,201800228,25
229,201800229,14
230,201800230,55
231,201800231,22
232,201800232,12
233,201800233,12
234,201800234,33
235,201800235,36
236,201800236,11
237,201800237,17
238,201800238,20
239,201800239,181
240,201800240,20
241,201800241,54
242,201800242,5
243,201800243,26
244,201800244,14
245,201800245,29
246,201800246,26
247,201800247,9
248,201800248,13
249,201800249,9
250,201800250,2
251,201800251,11
252,201800252,3
253,201800253,88
254,201800254,14
255,201800255,28
256,201800256,11
257,201800257,20
258,201800258,22
259,201800259,7
260,201800260,3
261,201800261,9
262,201800262,1
263,201800263,11
264,201800264,2
265,201800265,3
266,201800266,1
267,201800267,0
268,201800268,19
269,201800269,33
270,201800270,28
271,201800271,56
272,201800272,13
273,201800273,7
274,201800274,17
275,201800275,6
276,201800276,11
277,201800277,0
278,201800278,1
279,201800279,1
280,201800280,1
281,201800281,27
282,201800282,31
283,201800283,22
284,201800284,37
285,201800285,5
286,201800286,4
287,201800287,39
288,201800288,14
289,201800289,5
290,201800290,7
291,201800291,4
292,201800292,4
293,201800293,30
294,201800294,4
295,201800295,6
296,201800296,6
297,201800297,18
298,201800298,65
299,201800299,7
300,201800300,54
301,201800301,5
302,201800302,4
303,201800303,9
304,201800304,18
305,201800305,3
306,201800306,0
307,201800307,27
308,201800308,1
309,201800309,1
310,201800310,2
311,201800311,15
312,201800312,4
313,201800313,4
314,201800314,7
315,201800315,5
316,201800316,7
317,201800317,16
318,201800318,2
319,201800319,0
320,201800320,0
321,201800321,0
322,201800322,1
323,201800323,0
324,201800324,1
325,201800325,0
326,201800326,26
327,201800327,4
328,201800328,108
329,201800329,35
330,201800330,33
331,201800331,33
332,201800332,9
333,201800333,43
334,201800334,40
335,201800335,54
336,201800336,40
337,201800337,6
338,201800338,1
339,201800339,0
340,201800340,38
341,201800341,47
342,201800342,42
343,201800343,20
344,201800344,5
345,201800345,57
346,201800346,13
347,201800347,1
348,201800348,48
349,201800349,8
350,201800350,49
351,201800351,4
352,201800352,15
353,201800353,11
354,201800354,19
355,201800355,0
356,201800356,2
357,201800357,16
358,201800358,5
359,201800359,18
360,201800360,18
361,201800361,1
362,201800362,46
363,201800363,10
364,201800364,23
365,201800365,13
366,201800366,13
367,201800367,15
368,201800368,27
369,201800369,8
370,201800370,29
371,201800371,15
372,201800372,80
373,201800373,116
374,201800374,70
375,201800375,14
376,201800376,29
377,201800377,11
378,201800378,60
379,201800379,1
380,201800380,14
381,201800381,1
382,201800382,26
383,201800383,11
384,201800384,155
385,201800385,5
386,201800386,19
387,201800387,4
388,201800388,21
389,201800389,14
390,201800390,0
391,201800391,29
392,201800392,3
393,201800393,23
394,201800394,39
395,201800395,10
396,201800396,62
397,201800397,11
398,201800398,41
399,201800399,1
400,201800400,24
401,201800401,51
402,201800402,1
403,201800403,6
404,201800404,7
405,201800405,23
406,201800406,3
407,201800407,263
408,201800408,6
409,201800409,152
410,201800410,4
411,201800411,1
412,201800412,18
413,201800413,6
414,201800414,10
415,201800415,6
416,201800416,0
417,201800417,27
418,201800418,6
419,201800419,6
420,201800420,13
421,201800421,11
422,201800422,13
423,201800423,52
424,201800424,17
425,201800425,6
426,201800426,5
427,201800427,2
428,201800428,4
429,201800429,3
430,201800430,17
431,201800431,5
432,201800432,38
433,201800433,1
434,201800434,29
435,201800435,81
436,201800436,21
437,201800437,7
438,201800438,40
439,201800439,3
440,201800440,42
441,201800441,19
442,201800442,46
443,201800443,24
444,201800444,1
445,201800445,15
446,201800446,0
447,201800447,34
448,201800448,2
449,201800449,62
450,201800450,66
451,201800451,25
452,201800452,44
453,201800453,23
454,201800454,0
455,201800455,0
456,201800456,0
457,201800457,0
458,201800458,0
459,201800459,9
460,201800460,12
461,201800461,21
462,201800462,31
463,201800463,5
464,201800464,8
465,201800465,2
466,201800466,37
467,201800467,90
468,201800468,0
469,201800469,0
470,201800470,3
471,201800471,6
472,201800472,1
473,201800473,13
474,201800474,4
475,201800475,2
476,201800476,13
477,201800477,29
478,201800478,5
479,201800479,0
480,201800480,20
481,201800481,16
482,201800482,9
483,201800483,30
484,201800484,1
485,201800485,10
486,201800486,5
487,201800487,14
488,201800488,37
489,201800489,15
490,201800490,9
491,201800491,0
492,201800492,5
493,201800493,28
494,201800494,34
495,201800495,11
496,201800496,6
497,201800497,9
498,201800498,0
499,201800499,23
500,201800500,46
501,201800501,11
502,201800502,28
503,201800503,6
504,201800504,26
505,201800505,3
506,201800506,10
507,201800507,27
508,201800508,24
509,201800509,7
510,201800510,8
511,201800511,17
512,201800512,4
513,201800513,10
514,201800514,21
515,201800515,3
516,201800516,4
517,201800517,17
518,201800518,10
519,201800519,89
520,201800520,1
521,201800521,15
522,201800522,9
523,201800523,8
524,201800524,11
525,201800525,27
526,201800526,23
527,201800527,21
528,201800528,0
529,201800529,18
530,201800530,23
531,201800531,24
532,201800532,14
533,201800533,35
534,201800534,7
535,201800535,46
536,201800536,52
537,201800537,21
538,201800538,156
539,201800539,8
540,201800540,7
541,201800541,14
542,201800542,10
543,201800543,42
544,201800544,11
545,201800545,0
546,201800546,30
547,201800547,32
548,201800548,52
549,201800549,12
550,201800550,11
551,201800551,6
552,201800552,2
553,201800553,5
554,201800554,35
555,201800555,92
556,201800556,5
557,201800557,27
558,201800558,38
559,201800559,23
560,201800560,17
561,201800561,18
562,201800562,15
563,201800563,20
564,201800564,25
565,201800565,12
566,201800566,35
567,201800567,14
568,201800568,36
569,201800569,46
570,201800570,44
571,201800571,14
572,201800572,27
573,201800573,2
574,201800574,1
575,201800575,6
576,201800576,11
577,201800577,31
578,201800578,10
579,201800579,38
580,201800580,5
581,201800581,96
582,201800582,9
583,201800583,21
584,201800584,2
585,201800585,2
586,201800586,2
587,201800587,12
588,201800588,32
589,201800589,53
590,201800590,7
591,201800591,3
592,201800592,18
593,201800593,19
594,201800594,49
595,201800595,50
596,201800596,38
597,201800597,6
598,201800598,22
599,201800599,52
600,201800600,0
601,201800601,276
602,201800602,1
603,201800603,2
604,201800604,3
605,201800605,13
606,201800606,0
607,201800607,5
608,201800608,4
609,201800609,1
610,201800610,20
611,201800611,70
612,201800612,8
613,201800613,71
614,201800614,15
615,201800615,27
616,201800616,0
617,201800617,9
618,201800618,18
619,201800619,0
620,201800620,38
621,201800621,2
622,201800622,21
