target,Country,count
Mimar Sinan Güzel Sanatlar Üniversitesi,Turkey,291
Mersin Üniversitesi,Turkey,290
King Mongkut's Institute of Technology Ladkrabang,Thailand,288
İstanbul Aydın Üniversitesi,Turkey,283
Hacettepe Üniversitesi,Turkey,281
T.C. Beykent Üniversitesi,Turkey,281
University of Chinese Academy of Sciences,China,279
Erzincan Binali Yıldırım Üniversitesi,Turkey,279
The British University in Egypt,Egypt,278
Universidad de Antioquia,Colombia,275
University of Montenegro,Montenegro,271
Politechnika Warszawska,Poland,268
Deakin University,Australia,266
King Mongkut's University of Technology North Bangkok,Thailand,266
Ozyegin University,Turkey,265
Karamanoğlu Mehmetbey Üniversitesi,Turkey,264
AGH University of Krakow,Poland,264
Academy of Science,Thailand,262
University of Colombo,Sri Lanka,262
King Mongkut's University of Technology Thonburi,Thailand,259
"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand,256
Naresuan University,Thailand,243
Tomsk State University,Russian Federation,240
Fayoum University,Egypt,237
Sun Yat-Sen University,China,235
Silpakorn University,Thailand,233
Necmettin Erbakan Üniversitesi,Turkey,229
Zhejiang University,China,228
Agensi Nuklear Malaysia,Malaysia,220
Thai Red Cross Agency,Thailand,218
Medical University of Plovdiv,Bulgaria,209
Ain Shams University,Egypt,206
Zewail City of Science and Technology,Egypt,205
University of Hyderabad,India,203
Yonsei University,South Korea,201
"Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente",Italy,199
"Faculty of Medicine, Khon Kaen University",Thailand,197
CSFNSM Centro Siciliano di Fisica Nuclear e Struttura della Materia,Italy,195
Center of Excellence on Petrochemical and Materials Technology,Thailand,194
International Islamic University Malaysia,Malaysia,192
Thailand Ministry of Public Health,Thailand,188
Institute for Particle Physics Phenomenology,United Kingdom,184
Universidade Federal de Pelotas,Brazil,181
Universidade Federal de Mato Grosso do Sul,Brazil,181
Rangsit University,Thailand,180
Tokat Gaziosmanpaşa Üniversitesi,Turkey,179
State Key Laboratory of Nuclear Physics and Technology,China,176
Thailand National Nanotechnology Center,Thailand,175
Burapha University,Thailand,175
"Islamic Azad University, Science and Research Branch",Iran,174
Walailak University,Thailand,173
Faculty of Science,Egypt,172
Phramongkutklao College of Medicine,Thailand,166
The University of Tokyo,Japan,166
Şırnak University,Turkey,161
Utah Valley University,United States,159
Thailand National Metal and Materials Technology Center,Thailand,158
Cairo University,Egypt,155
University of Toronto,Canada,155
Nanjing Normal University,China,155
"Sasin School of Management, Bangkok",Thailand,153
Yakın Doğu Üniversitesi,Cyprus,150
Rockefeller University,United States,150
Helwan University,Egypt,150
"Ministry of Higher Education, Science, Research and Innovation",Thailand,146
Bozok Universitetesi Rektörlügü,Turkey,145
Milli Savunma Üniversitesi,Turkey,144
Indian Institute of Technology Bombay,India,143
Hungarian University of Agriculture and Life Sciences,Hungary,141
"University of Science and Technology of Mazandaran, Behshahr",Iran,140
Thailand National Science and Technology Development Agency,Thailand,138
"Eastern University, Sri Lanka",Sri Lanka,137
Fudan University,China,136
American University of the Middle East,Kuwait,135
King Abdulaziz University,Saudi Arabia,131
"Faculty of Medicine, Chiang Mai University",Thailand,127
École polytechnique,France,127
"Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand,125
"Faculty of Medicine, Thammasat University",Thailand,123
G.H.G. Khalsa College,India,120
Laboratoire Leprince-Ringuet,France,120
National Astronomical Research Institute of Thailand,Thailand,117
Johns Hopkins Bloomberg School of Public Health,United States,117
