,affiliation,latitude,longitude
277,Università degli Studi di Perugia,43.1163861,12.385315979588867
278,Helsingin Yliopisto,60.22672205,25.017670049469757
279,National Technical University of Athens,37.98785015,23.731825812552522
280,Università degli Studi di Siena,43.3218679,11.3344986
281,Institute of Physics Bhubaneswar,20.307856450000003,85.83082379261192
282,Florida State University,30.44235995,-84.29747867166262
283,Novosibirsk State University,54.84614165,83.09421307318772
284,Universidade Federal do ABC,-23.64465645,-46.52841501014528
285,"National Centre for Scientific Research ""DEMOKRITOS""",38.9953683,21.9877132
286,Institut Ruđer Bošković,45.82962190000001,15.987950843597645
287,Université Catholique de Louvain,50.821212700000004,4.34955336942806
288,Kansas State University,39.20883,-96.58845116318602
289,Università degli Studi di Padova,45.406649599999994,11.87744071225941
290,Moscow Institute of Physics and Technology,55.929035,37.518668082948246
291,University of Colorado Boulder,40.006937300000004,-105.266386566938
292,Yazd University,31.830437,54.34903558239266
293,Stefan Meyer Institute for Subatomic Physics,48.2074719,16.3924811
294,Università G. Marconi,40.6614301788149,16.60232811716495
295,Khon Kaen University,17.8036539,102.74803128559202
296,Uppsala Universitet,59.8576902,17.6297861
297,The Royal Institute of Technology (KTH),59.6749712,14.5208584
298,Zewail City of Science and Technology,26.2540493,29.2675469
299,Karamanoğlu Mehmetbey Üniversitesi,37.1725771,33.25841122392833
300,Karlsruher Institut für Technologie,49.101853399999996,8.433120159201868
301,Stefan-Meyer-Institut für Subatomare Physik,48.2074719,16.3924811
302,Ozyegin University,38.9597594,34.9249653
303,Escuela Politécnica Nacional,-0.21027895,-78.48886096017685
304,Universidad de Sonora,29.083525,-110.96288712508456
305,Islamic Azad University,34.836724700000005,48.561978554493265
306,Helwan University,29.86672095,31.315590004961006
307,Istanbul Üniversitesi,41.0132424,28.9637609
308,Sejong University,37.550848,127.07460744982816
309,University of Chinese Academy of Sciences,39.907697049999996,116.24405770367915
310,"National Research Centre ""Kurchatov Institute""",55.79624725,37.47444984947771
311,Hacettepe Üniversitesi,39.86744815,32.735384518047205
312,Bethel University,45.0598639,-93.16397776260094
313,Kyung Hee University,37.5971213,127.05198672345011
314,NVIDIA,45.5344957,-122.886274
315,Nazan University,36.5748441,139.2394179
316,Walailak University,14.8971921,100.83273
317,Faculty of Science,36.71533125,-4.472711280293506
318,Ministry of Culture,25.0560769,121.4432371
319,"Mahidol University, Faculty of Dentistry",14.8971921,100.83273
320,The Planned Parenthood Association of Thailand (PPAT) Under the Patronage of H.R.H. The Princess Mother,14.8971921,100.83273
321,"Faculty of Medicine Siriraj Hospital, Mahidol University",14.8971921,100.83273
322,Ramathibodi Hospital,13.76728305,100.52617173000242
323,Thailand Ministry of Public Health,13.8494019,100.5251237817466
324,Universität des Saarlandes,49.25428530000001,7.04150707562534
325,MIT Computer Science &amp; Artificial Intelligence Laboratory,39.7837304,-100.445882
326,Max Planck Institute for Informatics,49.257938550000006,7.0457777378498285
327,Maanmittauslaitos,60.445466,22.2633481
328,Thailand National Center for Genetic Engineering and Biotechnology,14.07836385,100.6015088868153
329,Institut Teknologi Sepuluh Nopember,-7.2826954,112.79567824449973
330,Chung Yuan Christian University,24.957068999999997,121.24259756524928
331,King Mongkut's University of Technology Thonburi,13.65177175,100.49440867993934
332,"Kasetsart University, Kamphaeng Saen Campus",14.8971921,100.83273
333,University of Veterinary Science,19.84044205,96.27081364016115
334,MSD Animal Health Netherlands,52.2434979,5.6343227
335,Intervet (Thailand) Ltd.,14.8971921,100.83273
336,Lerdsin Hospital,13.7218679,100.5174941710219
337,"Faculty of Medicine, Chulalongkorn University",14.8971921,100.83273
338,Pakchongnana Hospital,14.8971921,100.83273
339,Sirindhorn Hospital,15.2013959,105.4048638
340,London School of Economics and Political Science,51.51459765,-0.11642199104621423
341,RIKEN Cluster for Pioneering Research,36.5748441,139.2394179
342,National Astronomical Research Institute of Thailand,14.8971921,100.83273
343,"University of Edinburgh, Institute for Astronomy",54.7023545,-3.2765753
344,Research Center for the Early Universe,36.5748441,139.2394179
345,"Academia Sinica, Institute of Astronomy and Astrophysics",23.5983227,120.83537694479215
346,Instituto Nacional de Astrofisica Optica y Electronica,19.0322112,-98.31434589473594
347,National Institutes of Natural Sciences - National Astronomical Observatory of Japan,36.5748441,139.2394179
348,European Southern Observatory,48.2600738,11.6710455
349,The Graduate University for Advanced Studies,36.5748441,139.2394179
350,University of Massachusetts Amherst,42.386969300000004,-72.53018467326824
351,Kapteyn Instituut,52.2434979,5.6343227
352,Kyoto University,35.0234513,135.7798129
353,The University of Arizona,39.7837304,-100.445882
354,Tohoku University,38.253193100000004,140.82923953007685
355,Purple Mountain Observatory Chinese Academy of Sciences,35.0000663,104.999955
356,Nagoya University,35.15330865,136.96778056540737
357,IEEE,36.843961,10.196652392598693
358,Graduate School of Medicine,41.8722549,-87.6711648
359,"A-Star, Singapore Immunology Network",1.357107,103.8194992
360,Johannes Gutenberg-Universität Mainz,49.992039649999995,8.237090346042269
361,Universität Graz,47.077857300000005,15.44984909187254
362,Vietnam Institute of Geosciences and Mineral Resources,20.98258235,105.79392381247345
363,DOJI Gold &amp; Gems Group in Hanoi,15.9266657,107.9650855
364,Hanoi University of Science,20.99592205,105.80795243109458
365,Malaysia Agriculture Research and Development Institute,4.5693754,102.2656823
366,Universiti Putra Malaysia,2.9918365,101.72067704384338
367,Universiti Kebangsaan Malaysia,2.92408085,101.78122157693835
368,Siriraj Hospital,13.75782125,100.48536949946211
369,"Faculty of Medicine, Khon Kaen University",14.8971921,100.83273
370,University of Southern Mississippi,31.3286452,-89.3367311705755
371,National Cancer Institute Thailand,13.7675155,100.52726242397844
372,Ramkhamhaeng University,13.75620155,100.6174495570852
373,Mahasarakham University,16.2011686,103.2699951
374,Newcastle University,54.98017505,-1.6146802127187847
375,ISIS Neutron and Muon Source,54.7023545,-3.2765753
376,Ilia State University (ISU),32.3293809,-83.1137366
377,Institute of Physics,51.532285200000004,-0.12057660198478583
378,Tbilisi-State-University-Tbilisi,41.7170696,44.72137575446858
379,State Key Laboratory of Nuclear Physics and Technology,35.0000663,104.999955
380,Suez University,30.6221359,32.27505488819847
381,Phramongkutklao College of Medicine,13.7694257,100.53186494907776
382,Royal Thai Air Force,13.9196475,100.6221304
383,Vajira Hospital,13.7806675,100.5093784
384,Indiana University Bloomington,39.1802358,-86.50935262731483
385,Laboratory of Biotechnology,23.0018551,120.22157729828166
386,Uniwersytet Jagielloński,50.061562949999995,19.933409068159605
387,Osaka University,34.51119925,135.63144797553792
388,Homerton College,52.18539575,0.13539861315589496
389,UCSF School of Medicine,39.7837304,-100.445882
390,"University of California, Berkeley",37.86865795,-122.25593425935196
391,Naresuan University,16.746551,100.195528
392,UCSF Benioff Children's Hospital Oakland,37.8369234,-122.26717165916918
393,Buddhachinaraj Phitsanulok Hospital,16.8083847,100.2636897
394,Queen Sirikit National Institute of Child Health,13.765572299999999,100.53497216063869
395,Hat Yai Hospital,7.0160263,100.48646570493646
396,Bangkok Metropolitan Administration General Hospital,14.8971921,100.83273
397,Songklanagarind Hospital,7.00667325,100.49466627432562
398,Prapokklao Hospital,12.60352605,102.10200073603615
399,Maharaj Nakorn Chiang Mai Hospital,18.789854300000002,98.97435361531221
400,Khon Kaen Regional Hospital,16.429482,102.8510992
401,Somdech Phra Pinklao Hospital,13.71021735,100.4847728779271
402,Lopburi Cancer Hospital,14.803914,100.65136990013838
403,University of Liverpool,53.40724285,-2.965833661018871
404,Centre Universitaire de Santé McGill,45.47401605,-73.5999506480536
405,Université de Lyon,45.7465087,4.82632507476386
406,Atacama Large Millimeter-submillimeter Array,-23.0227714,-67.7530723
407,Nanjing University,32.0565957,118.77408832807794
408,ESTEC - European Space Research and Technology Centre,52.21791305,4.42184784703002
409,Ludwig-Maximilians-Universität München,48.15047575,11.579835648337658
410,Durham University,54.76412815,-1.5863066451588925
411,University of Sussex,50.867437699999996,-0.08772587874525903
412,Niels Bohr Institutet,55.670249,10.3333283
413,National Optical Astronomy Observatory,32.2331721,-110.9478175
414,European Southern Observatory Santiago,-33.39945255,-70.60010481433241
415,National Observatory of Athens,38.9953683,21.9877132
416,Anhui Normal University,30.6122053,116.99206035835778
417,Universidad de Valparaiso,-33.04391915,-71.61711731823237
418,Laboratoire d'Astrophysique de Marseille,43.34358895,5.436600167504155
419,Universität Bonn,50.727659450000004,7.109765137864073
420,Sterrewacht Leiden,52.154836450000005,4.483882061240196
421,The University of Sheffield,53.3806759,-1.4840345
422,Universidad de Concepcion,-36.83020485,-73.03722932148783
423,University of Science and Technology of China,31.8403891,117.2501941133908
424,Institut de Recherche sur les Lois Fondamentales de l'Univers,46.603354,1.8883335
425,Aix Marseille Université,43.5259126,5.4141035
426,Pontificia Universidad Católica de Valparaíso,-33.04493909999999,-71.6067572709068
427,Chinese Academy of Sciences,39.90933665,116.32971461228999
428,Universidad Diego Portales,-33.451256150000006,-70.66127529541899
429,Korea Institute for Advanced Study,37.5928947,127.0457538735129
430,Max Planck Institute for Astronomy,51.1638175,10.4478313
431,Victoria University of Wellington,-36.8482415,174.76775596988733
432,Kindai University Nara Hospital,34.6502367,135.7154381
433,Kameda Medical Center,36.5748441,139.2394179
434,Shandong University,36.36553935,120.68458591160784
435,Beijing Cancer Hospital,39.871978,116.4391694
436,The Catholic University of Korea,37.5854724,127.00479397923763
437,Shandong Provincial Hospital,35.0000663,104.999955
438,Police General Hospital,13.7435548,100.53651114225187
439,EcoHealth Alliance,39.7837304,-100.445882
440,Research Organization of Information and Systems National Institute of Informatics,36.5748441,139.2394179
441,National Institute of Advanced Industrial Science and Technology,36.05317973981992,140.1171149107366
442,Duke University Medical Center,36.00188905,-78.91180564247733
443,"Faculty of Medicine Ramathibodi Hospital, Mahidol University",14.8971921,100.83273
444,University of Hawaiʻi at Mānoa,21.2982795,-157.81869185528882
445,Jackson Memorial Hospital,25.791670500000002,-80.21260146013265
446,University of Mississippi Medical Center,32.3309299,-90.17230015763226
447,Thai-Nichi Institute of Technology,13.73814,100.6290657
448,Beth Israel Deaconess Medical Center,42.3397971,-71.10487181678371
449,Johns Hopkins School of Medicine,39.7837304,-100.445882
450,National University Health System,1.357107,103.8194992
451,"Merck Sharp &amp; Dohme, Australia",-24.7761086,134.755
452,National Taiwan University Hospital,24.81636875,120.9800682205957
453,NUS Yong Loo Lin School of Medicine,1.357107,103.8194992
454,Klinikum Ludwigshafen,49.4898721,8.425535659083586
455,Yonsei University,37.280096549999996,127.90150303233045
456,The University of Rhode Island,39.7837304,-100.445882
457,"Merck &amp; Co., Inc.",39.7837304,-100.445882
458,Chinese University of Hong Kong,22.4140914,114.2100208
459,Rutgers University,40.492977800000006,-74.44510808059266
460,Sri Ganga Ram Hospital,22.3511148,78.6677428
461,MSD Ltd,54.7023545,-3.2765753
462,Stiftung Institut für Herzinfarktforschung,51.1638175,10.4478313
463,John de Laeter Research Centre,-24.7761086,134.755
464,PTT Exploration and Production Public Company Limited,5.25845825,115.2372737312779
465,The University of Adelaide,56.4677800093215,-2.9864827744513067
